Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
1804,1808,Fulani War,Sokoto Caliphate,Hausa Kingdoms,,https://en.wikipedia.org/wiki/Fulani_War,
1804,1813,Russo-Persian War\n(1804–1813)\n,Russian Empire,Qajar dynasty,Napoleonic\nWars,https://en.wikipedia.org/wiki/Russo-Persian_War_(1804%E2%80%931813),https://en.wikipedia.org/wiki/Russo-Persian_War_(1804%E2%80%931813)
1805,1811,Egyptian Revolution\n,Albanian forces of\nMuhammad Ali,Ottoman Empire\nMamluk Forces,Napoleonic\nWars,https://en.wikipedia.org/wiki/Muhammad_Ali's_seizure_of_power,https://en.wikipedia.org/wiki/Napoleonic_Wars
1805,1805,Janissaries' Revolt,Ottoman Empire,Janissaries,,https://en.wikipedia.org/wiki/Janissaries'_Revolt,
,,nan,nan,nan,,,
1805,1810,Franco-Swedish War\n,France,Sweden,Napoleonic\nWars,https://en.wikipedia.org/wiki/Franco-Swedish_War,https://en.wikipedia.org/wiki/Napoleonic_Wars
1805,1805,Haitian invasion of\nSanto Domingo,France\nSpain\nCaptaincy General\nof Santo Domingo,First Empire of Haiti,,https://en.wikipedia.org/wiki/History_of_the_Dominican_Republic#Eighteenth_century,https://en.wikipedia.org/wiki/Captaincy_General_of_Santo_Domingo
1806,1807,War of the Fourth\nCoalition\n,French Empire and allies:\nFrance\nConfederation of the\nRhine\nBavaria\nWürttemberg\nSaxony (from Dec.\n1806)\nPolish Legions\nItaly\nNaples\nEtruria\nHolland\nSwiss Confederation\nSpain,Prussia\nRussia\nUnited Kingdom\nSaxony (1806 only)\nSweden\nSicily,Napoleonic\nWars,https://en.wikipedia.org/wiki/War_of_the_Fourth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Fourth_Coalition
1806,1812,Russo-Turkish War\n(1806–1812)\n,Russian Empire,Ottoman Empire,Napoleonic\nWars,https://en.wikipedia.org/wiki/Russo-Turkish_War_(1806%E2%80%931812),https://en.wikipedia.org/wiki/Russo-Turkish_War_(1806%E2%80%931812)
1806,1807,British invasions of the\nRío de la Plata,Spain\nRío de la Plata\nViceroyalty,United Kingdom,,https://en.wikipedia.org/wiki/British_invasions_of_the_R%C3%ADo_de_la_Plata,https://en.wikipedia.org/wiki/British_invasions_of_the_R%C3%ADo_de_la_Plata
1806,1807,Ashanti–Fante War,Ashanti Empire\nHolland,Fante Confederacy\nUnited Kingdom,,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Fante_War,
1806,1811,War of Christophe's\nSecession,Forces of Henri Christophe,Forces of Alexandre Pétion,,https://en.wikipedia.org/wiki/Henri_Christophe#State_and_Kingdom_of_Haiti,https://en.wikipedia.org/wiki/Henri_Christophe#State_and_Kingdom_of_Haiti
1806,1806,Vellore Mutiny,British East India Company,Vellore Sepoys,,https://en.wikipedia.org/wiki/Vellore_Mutiny,
1807,1809,Anglo-Turkish War\n(1807–1809)\n,Ottoman Empire,United Kingdom,Napoleonic\nWars,https://en.wikipedia.org/wiki/Anglo-Turkish_War_(1807%E2%80%931809),https://en.wikipedia.org/wiki/Anglo-Turkish_War_(1807%E2%80%931809)
1807,1807,Alexandria expedition\nof 1807,Egypt,British Empire,,https://en.wikipedia.org/wiki/Alexandria_expedition_of_1807,https://en.wikipedia.org/wiki/Alexandria_expedition_of_1807
1807,1807,Tican's rebellion,Austrian Empire,Serbian Rebels,,https://en.wikipedia.org/wiki/Tican's_rebellion,
1807,1807,Froberg mutiny,British Empire,Navy Mutineers,,https://en.wikipedia.org/wiki/Froberg_mutiny,
,,nan,nan,nan,,,
1807,1807,Brazilian slave revolt of\n1807,Colonial Brazil,Rebels,,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1807,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1807
1807,1808,Janissaries' Revolt,Ottoman Empire,Janissaries,,https://en.wikipedia.org/wiki/Janissaries'_Revolt,
1807,1814,Gunboat War\n,United Kingdom,Denmark–Norway,Napoleonic\nWars,https://en.wikipedia.org/wiki/Gunboat_War,https://en.wikipedia.org/wiki/Napoleonic_Wars
1807,1812,Anglo-Russian War\n(1807–1812)\n,United Kingdom,Russian Empire,Napoleonic\nWars,https://en.wikipedia.org/wiki/Anglo-Russian_War_(1807%E2%80%931812),https://en.wikipedia.org/wiki/Anglo-Russian_War_(1807%E2%80%931812)
1807,1807,Basi Revolt,Spain,Rebels,,https://en.wikipedia.org/wiki/Basi_Revolt,
1807,1814,Peninsular War\n,Portugal\nUnited Kingdom\nSpain,France,Napoleonic\nWars,https://en.wikipedia.org/wiki/Peninsular_War,https://en.wikipedia.org/wiki/Napoleonic_Wars
1807,1818,Mtetwa Empire\nExpansion,Mthethwa Paramountcy,Other Tribes,,https://en.wikipedia.org/wiki/Mthethwa_Paramountcy,https://en.wikipedia.org/wiki/Mthethwa_Paramountcy
1807,1842,New Zealand Musket\nWars,Māori,Māori,,https://en.wikipedia.org/wiki/Musket_Wars,https://en.wikipedia.org/wiki/Musket_Wars
1807,1808,Ottoman coups of\n1807–08,Pro-reform factions,Anti-reform factions\nJanissaries,,https://en.wikipedia.org/wiki/Ottoman_coups_of_1807%E2%80%9308,https://en.wikipedia.org/wiki/Ottoman_coups_of_1807%E2%80%9308
1808,1810,Rum Rebellion,United Kingdom,New South Wales Corps,,https://en.wikipedia.org/wiki/Rum_Rebellion,
1808,1809,Finnish War,Russian Empire,Sweden,,https://en.wikipedia.org/wiki/Finnish_War,
1808,1809,Spanish reconquest of\nSanto Domingo\n,Spain\nSanto Domingo\nBritish Empire,France,Napoleonic\nWars,https://en.wikipedia.org/wiki/Spanish_reconquest_of_Santo_Domingo,https://en.wikipedia.org/wiki/Spanish_reconquest_of_Santo_Domingo
1808,1809,Dano-Swedish War of\n1808–1809\n,Denmark–Norway\nFrance,Sweden\nUnited Kingdom,Napoleonic\nWars,https://en.wikipedia.org/wiki/Dano-Swedish_War_of_1808%E2%80%931809,https://en.wikipedia.org/wiki/Dano-Swedish_War_of_1808%E2%80%931809
1808,1809,Travancore Rebellion,British Empire,Travancore\nKingdom of Cochin,,https://en.wikipedia.org/wiki/Travancore_rebellion,
1809,1809,Gurkha-Sikh War,Sikh Empire,Nepal,,https://en.wikipedia.org/wiki/Gurkha-Sikh_War,
1809,1809,Persian Gulf campaign\nof 1809,United Kingdom\nEast India Company,Al Qasimi,,https://en.wikipedia.org/wiki/Persian_Gulf_campaign_of_1809,https://en.wikipedia.org/wiki/Persian_Gulf_campaign_of_1809
1809,1809,Coup of 1809,Men of 1809,Sweden,,https://en.wikipedia.org/wiki/Coup_of_1809,
1809,1809,War of the Fifth\nCoalition\n,France\nDuchy of Warsaw\nConfederation of the\nRhine\nKingdom of Bavaria\nSaxony\nWürttemberg\nWestphalia\nItaly\nNaples\nSwiss Confederation,Austria\nTyrol\nHungary\nUnited Kingdom\nBlack Brunswickers\nSardinia\nSicily,Napoleonic\nWars,https://en.wikipedia.org/wiki/War_of_the_Fifth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Fifth_Coalition
,,,Holland,,,,
1809,1809,1809 Gottscheer\nRebellion,France,Gottschee peasants,,https://en.wikipedia.org/wiki/1809_Gottscheer_Rebellion,https://en.wikipedia.org/wiki/1809_Gottscheer_Rebellion
1809,1809,Tyrol Rebellion\n,Kingdom of Bavaria\nFirst French Empire\nKingdom of Italy,Austrian Empire\nTyrolean Rebels,Napoleonic\nWars,https://en.wikipedia.org/wiki/Tyrol_Rebellion,https://en.wikipedia.org/wiki/Napoleonic_Wars
1809,1812,Quito Revolution\n(1809-1812)\n,Spain,Rebels,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Quito_Revolution_(1809-1812),https://en.wikipedia.org/wiki/Quito_Revolution_(1809-1812)
1809,1812,Burmese–Siamese\nWar (1809–1812),Siam,Burmese Empire,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1809%E2%80%931812),https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1809%E2%80%931812)
1809,1825,Bolivian War of\nIndependence\n,Bolivia,Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Bolivian_War_of_Independence,https://en.wikipedia.org/wiki/Bolivian_War_of_Independence
Start,Finish,Name of conflict,Belligerents,nan,,,
,,nan,Victorious party (if applicable),Defeated party (if applicable),,,
1810,1818,Argentine War of\nIndependence\n,United Provinces of the Río\nde la Plata\nChile,Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Argentine_War_of_Independence,https://en.wikipedia.org/wiki/Argentine_War_of_Independence
1810,1825,Colombian War of\nIndependence\n,Gran Colombia,Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Colombian_War_of_Independence,https://en.wikipedia.org/wiki/Colombian_War_of_Independence
1810,1811,Tecumseh's War\n,United States\nChief Black Hoof,Tecumseh's Confederacy,War of\n1812,https://en.wikipedia.org/wiki/Tecumseh's_War,https://en.wikipedia.org/wiki/War_of_1812
1810,1810,US occupation of West\nFlorida,United States,Spain,,https://en.wikipedia.org/wiki/West_Florida_Controversy,https://en.wikipedia.org/wiki/West_Florida_Controversy
1810,1820,Punjab War,Sikh Empire,British East India\nCompany\nBritish Empire,,,
1810,1826,Chilean War of\nIndependence\n,Chile\nUnited Provinces of the\nRío de la Plata,Spain\nMapuche allies,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Chilean_War_of_Independence,https://en.wikipedia.org/wiki/Chilean_War_of_Independence
1810,1810,Conquest of Hawaii,Kingdom of Hawaii,Other Hawaiian Tribes,,https://en.wikipedia.org/wiki/Kamehameha_I#Unification_of_Hawai%CA%BBi,
1810,1818,Amadu's Jihad,Forces of Seku Amadu,Bamana Empire,,https://en.wikipedia.org/wiki/Seku_Amadu#Jihad,
1810,1821,Mexican War of\nIndependence\n,Mexican Army,Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Mexican_War_of_Independence,https://en.wikipedia.org/wiki/Mexican_War_of_Independence
1811,1812,Cambodian rebellion\n(1811–12),Cambodian pro-Siamese\nfaction\nRattanakosin Kingdom\n(Siam),Cambodian pro-\nVietnamese faction\nNguyễn dynasty (Vietnam),,https://en.wikipedia.org/wiki/Cambodian_rebellion_(1811%E2%80%9312),https://en.wikipedia.org/wiki/Cambodian_rebellion_(1811%E2%80%9312)
1811,1811,Battle of Khakeekera,Bahrain\nKuwait,Diriyah,,https://en.wikipedia.org/wiki/Battle_of_Khakeekera,
1811,1811,1811 German Coast\nuprising,United States,Rebel Slaves,,https://en.wikipedia.org/wiki/1811_German_Coast_uprising,https://en.wikipedia.org/wiki/1811_German_Coast_uprising
1811,1811,Invasion of Java\n(1811),British East India Company,France,,https://en.wikipedia.org/wiki/Invasion_of_Java_(1811),https://en.wikipedia.org/wiki/Invasion_of_Java_(1811)
1811,1811,Tonquin incident,United States,Tla-o-qui-aht,,https://en.wikipedia.org/wiki/Tonquin_(1807_ship),
1811,1812,Fourth Xhosa War,Cape Colony,Xhosa Tribes,,https://en.wikipedia.org/wiki/Xhosa_Wars#Fourth_War_(1811%E2%80%9312),
,,nan,nan,nan,,,
1811,1811,Ga–Fante War,Fante Confederacy\nAkwapim Tribes\nAkim Tribes,Ashanti Empire\nGa Tribes\nBritish Empire\nDutch Empire,,https://en.wikipedia.org/wiki/Ga%E2%80%93Fante_War,
1811,1815,Arakanese Uprising[5],Burmese Empire,Rohingya Insurgents,,,
1811,1811,Battle of Las Piedras\n,Forces of José Gervasio\nArtigas,Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Battle_of_Las_Piedras_(1811),https://en.wikipedia.org/wiki/Spanish_American_wars_of_independence
1811,1812,Cambodian Rebellion,Viet Nam\nKingdom of Cambodia,Forces of Khmer\nPretender Ang Snguon\nSiam,,https://en.wikipedia.org/wiki/Cambodian_Rebellion_(1811%E2%80%9312),
1811,1811,Paraguayan Revolt,Paraguay,Viceroyalty of Peru,,https://en.wikipedia.org/wiki/Paraguayan_Revolt,
1811,1818,Wahhabi War,Ottoman Empire,First Saudi State,,https://en.wikipedia.org/wiki/Wahhabi_War,
1811,1823,Venezuelan War of\nIndependence\n,Venezuela\nGran Colombia\nBritish Empire\nNew Granada,Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Venezuelan_War_of_Independence,https://en.wikipedia.org/wiki/Venezuelan_War_of_Independence
1811,1826,Peruvian War of\nIndependence\n,Peru\nUnited Provinces of the Río\nde la Plata\nGran Colombia\nChile\nBritish Empire,Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Peruvian_War_of_Independence,https://en.wikipedia.org/wiki/Peruvian_War_of_Independence
1812,1812,Battle of Shela,Lamu,Mombasa\nPate,,https://en.wikipedia.org/wiki/Battle_of_Shela,
1812,1812,Hong Gyeong-Rae's\nRebellion,Joseon dynasty,Forces loyal to Hong Gyeong-\nnae,,https://en.wikipedia.org/wiki/Hong_Gyeong-Rae's_Rebellion,https://en.wikipedia.org/wiki/Hong_Gyeong-Rae's_Rebellion
1812,1812,Aponte conspiracy,Spain,Slaves,,https://en.wikipedia.org/wiki/Aponte_conspiracy,
1812,1812,French invasion of\nRussia\n,Russian Empire,France\nDuchy of Warsaw\nItaly\nNaples\nConfederation of the Rhine\nBaden\nBavaria\nBerg\nSaxony\nWestphalia\nSpain\nSwiss Confederation,Napoleonic\nWars,https://en.wikipedia.org/wiki/French_invasion_of_Russia,https://en.wikipedia.org/wiki/French_invasion_of_Russia
,,,,Allies:\nAustria\nPrussia,,,
1812,1814,War of the Sixth\nCoalition\n,Original Coalition:\nRussian Empire\nKingdom of Prussia\nAustrian Empire\nSweden\nUnited Kingdom of Great\nBritain and Ireland\nSpain\nKingdom of Portugal\nSicily\nKingdom of Sardinia\nAfter Battle of Leipzig:\nKingdom of Saxony\nKingdom of Bavaria\nWürttemberg,France\nKingdom of Italy\n(Napoleonic)\nDuchy of Warsaw\nNaples\nUntil January 1814\nDenmark–Norway\nSwiss Confederation\nConfederation of the Rhine\n(Many member states defected after\nBattle of Leipzig),Napoleonic\nWars,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition
1812,1815,War of 1812,British Empire\nUnited States\nUnited States,British Empire\nUnited States\nUnited States,,https://en.wikipedia.org/wiki/War_of_1812,
1812,1821,Pemmican War,North West Company\nMétis,Hudson's Bay Company\nSelkirk's settlers,,https://en.wikipedia.org/wiki/Pemmican_War,
1813,1813,Eight Trigrams uprising\nof 1813,Qing dynasty,Eight Trigram Sect,,https://en.wikipedia.org/wiki/Eight_Trigrams_uprising_of_1813,https://en.wikipedia.org/wiki/Eight_Trigrams_uprising_of_1813
1813,1837,Afghan-Sikh Wars,Sikh Empire,Durrani Empire\nEmirate of Afghanistan,,https://en.wikipedia.org/wiki/Afghan-Sikh_Wars,
1813,1814,Creek War,United States\nLower Creeks\nCherokees\nChoctaws,"""Red Sticks"" (Creek Indians)",,https://en.wikipedia.org/wiki/Creek_War,
1813,1813,Peoria War,United States,Kickapoo Nation\nPotawatomi Nation,,https://en.wikipedia.org/wiki/Peoria_War,
1814,1814,Brazilian slave revolt of\n1814,Colonial Brazil,Rebels,,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1814,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1814
1814,1814,Swedish–Norwegian\nWar\n,Sweden,Norway,Napoleonic\nWars,https://en.wikipedia.org/wiki/Swedish%E2%80%93Norwegian_War_(1814),https://en.wikipedia.org/wiki/Swedish%E2%80%93Norwegian_War_(1814)
1814,1816,Anglo-Nepalese War,British East India Company\nForces of the Chogyal,Nepal,,https://en.wikipedia.org/wiki/Anglo-Nepalese_War,
1814,1816,Ashanti–Akim–\nAkwapim War,Ashanti Empire,Akwapim Tribes\nAkim Tribes,,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Akim%E2%80%93Akwapim_War,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Akim%E2%80%93Akwapim_War
,,nan,nan,nan,,,
1814,1814,Hadži Prodan's Revolt\n,Ottoman Empire,Forces of Hadži Prodan\nGligorijevic,Serbian\nRevolution,https://en.wikipedia.org/wiki/Had%C5%BEi_Prodan's_Revolt,https://en.wikipedia.org/wiki/Serbian_Revolution
1814,1880,Argentine Civil Wars,Federalists\nBlancos,Unitarios\nColorados,,https://en.wikipedia.org/wiki/Argentine_Civil_Wars,
1815,1815,Slachter's Nek\nRebellion,United Kingdom,Boer Rebels,,https://en.wikipedia.org/wiki/Slachter's_Nek_Rebellion,https://en.wikipedia.org/wiki/Slachter's_Nek_Rebellion
1815,1815,Second Barbary War,United States\nUnited Kingdom of the\nNetherlands\nUnited Kingdom (from\n1815),Barbary States\nOttoman Empire,,https://en.wikipedia.org/wiki/Second_Barbary_War,
1815,1815,Second Kandyan War,British Empire,Kingdom of Kandy,,https://en.wikipedia.org/wiki/Second_Kandyan_War,
1815,1815,Hundred Days\nWar of the Seventh\nCoalition,United Kingdom\nKingdom of Prussia\nKingdom of France\nKingdom of Hanover\nGerman Confederation\nAustrian Empire\nRussian Empire\nSweden\nNetherlands\nSpain\nKingdom of Portugal\nKingdom of Sardinia\nKingdom of the Two\nSicilies\nGrand Duchy of\nTuscany,First French Empire\nNapoleonic Kingdom\nof Naples,,https://en.wikipedia.org/wiki/Hundred_Days,
1815,1815,Neapolitan War\n,Austrian Empire\nKingdom of the Two\nSicilies\nGrand Duchy of\nTuscany\nUnited Kingdom,Napoleonic Kingdom of\nNaples,Hundred\nDays,https://en.wikipedia.org/wiki/Neapolitan_War,
1815,1815,Temne-Susu War[6],Kingdom of Koya,Susu Tribes,,,
1815,1816,Spanish reconquest of\nNew Granada\n,Spanish Empire,United Provinces of New\nGranada,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Spanish_reconquest_of_New_Granada,https://en.wikipedia.org/wiki/Spanish_reconquest_of_New_Granada
1815,1817,Second Serbian\nUprising\n,Principality of Serbia,Ottoman Empire,Serbian\nRevolution,https://en.wikipedia.org/wiki/Second_Serbian_Uprising,https://en.wikipedia.org/wiki/Second_Serbian_Uprising
,,nan,nan,nan,,,
1816,1816,Bussa's Rebellion,British Empire,Barbadian slaves,,https://en.wikipedia.org/wiki/Bussa's_Rebellion,
1816,1816,Bombardment of\nAlgiers,British Empire,Ottoman Empire\nAlgiers,,https://en.wikipedia.org/wiki/Bombardment_of_Algiers_(1816),https://en.wikipedia.org/wiki/Bombardment_of_Algiers_(1816)
1816,1820,Luso-Brazilian\nconquest of the Banda\nOriental,"United Kingdom of Portugal,\nBrazil and the Algarves",Federal League,,https://en.wikipedia.org/wiki/Portuguese_conquest_of_the_Banda_Oriental,https://en.wikipedia.org/wiki/Portuguese_conquest_of_the_Banda_Oriental
1816,1857,Afaqi Khoja revolts,Qing dynasty,Aq Taghlik Khojas\nSupported by: Kokand\nKhanate,,https://en.wikipedia.org/wiki/Afaqi_Khoja_revolts,
1817,1817,Pernambucan Revolt,"United Kingdom of Portugal,\nBrazil and the Algarves",Pernambuco rebels,,https://en.wikipedia.org/wiki/Pernambucan_Revolt,
1817,1817,Pentrich rising,British Empire,Tax resisters,,https://en.wikipedia.org/wiki/Pentrich_rising,
1817,1818,Third Anglo-Maratha\nWar,British East India Company,Maratha Confederacy,,https://en.wikipedia.org/wiki/Third_Anglo-Maratha_War,https://en.wikipedia.org/wiki/Third_Anglo-Maratha_War
1817,1818,First Seminole War\n,United States,Seminole Tribes,Seminole\nWars,https://en.wikipedia.org/wiki/First_Seminole_War,https://en.wikipedia.org/wiki/Seminole_Wars
1817,1818,Uva Rebellion,British Empire,Kingdom of Kandy,,https://en.wikipedia.org/wiki/Uva_Rebellion,
1817,1819,Ndwandwe–Zulu War,Forces of Shaka Zulu,Forces of King Zwide,,https://en.wikipedia.org/wiki/Ndwandwe%E2%80%93Zulu_War,
1817,1826,Burmese invasions of\nAssam,Burmese Empire,Kingdom of Ahom\nKingdom of Manipur,,https://en.wikipedia.org/wiki/Burmese_invasions_of_Assam,https://en.wikipedia.org/wiki/Burmese_invasions_of_Assam
1817,1864,Caucasian War,Russian Empire,Avar Khanate\nCircassia\nKingdom of Kartli-\nKakheti\nCaucasian Imamate\nOther Tribes of the North\nCaucasus,,https://en.wikipedia.org/wiki/Caucasian_War,
1818,1818,Akure–Benin War,Benin Kingdom,Akure Kingdom,,https://en.wikipedia.org/wiki/Akure%E2%80%93Benin_War,
1818,1819,Fifth Xhosa War,British Empire\nKhoikhoi Forces,Forces of Xhosa Chief Maqana\nNxele,,https://en.wikipedia.org/wiki/Fifth_Xhosa_War,
1818,1828,Zulu wars of conquest,Zulu Kingdom,Other remnants of the Mtetwa\nParamountcy,,https://en.wikipedia.org/wiki/Zulu_wars_of_conquest,
1819,1820,Bolívar's campaign to\nliberate New Granada\n,United Provinces of New\nGranada,Spain,Venezuelan\nWar of Independence,https://en.wikipedia.org/wiki/Bol%C3%ADvar's_campaign_to_liberate_New_Granada,https://en.wikipedia.org/wiki/Bol%C3%ADvar's_campaign_to_liberate_New_Granada
1819,1819,Chuguev uprising,Russian Empire,Chuguev Regiment,,https://en.wikipedia.org/wiki/Chuguev_uprising,
Start,Finish,Name of conflict,Belligerents,nan,,,
,,nan,Victorious party (if\napplicable),Defeated party (if applicable),,,
1820,1820,Revolution of 1820,Kingdom of the Two Sicilies,Carbonari,,https://en.wikipedia.org/wiki/Ferdinand_I_of_the_Two_Sicilies#1820_revolution,
1820,1820,Cambodian rebellion\n(1820),Cambodian pro-Siamese\nfaction\nRattanakosin Kingdom\n(Siam),Khmer anti-Vietnamese rebels,,https://en.wikipedia.org/wiki/Cambodian_rebellion_(1820),https://en.wikipedia.org/wiki/Cambodian_rebellion_(1820)
1820,1824,Turco-Egyptian\nconquest of Sudan\n(1820-1824),Egypt Eyalet,Funj Sultanate\nSultanate of Darfur Shaigiya\ntribe,,https://en.wikipedia.org/wiki/Turco-Egyptian_conquest_of_Sudan_(1820-1824),https://en.wikipedia.org/wiki/Turco-Egyptian_conquest_of_Sudan_(1820-1824)
1820,1821,Farhi family revolt,Ottoman Empire,Farhi family and its Rebels,,,
1820,1821,Bani Bu Ali expedition,Omani Empire\nEast India Company,Bani Bu Ali tribe,,https://en.wikipedia.org/wiki/Bani_Bu_Ali_expedition,
1820,1822,Ali Pasha's Revolt,Ottoman Empire,Ali Pasha of Yanina,,https://en.wikipedia.org/wiki/Ali_Pasha's_Revolt,
1820,1822,Ecuadorian War of\nIndependence\n,Free Province of\nGuayaquil,Kingdom of Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Ecuadorian_War_of_Independence,https://en.wikipedia.org/wiki/Ecuadorian_War_of_Independence
